,Measure Name,Score
4,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,9
10,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,10
16,SSI - Colon Surgery: Observed Cases,5
22,SSI - Abdominal Hysterectomy: Observed Cases,1
28,MRSA Bacteremia: Observed Cases,9
34,Clostridium Difficile (C.Diff): Observed Cases,56
40,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,12
46,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,7
52,SSI - Colon Surgery: Observed Cases,2
58,SSI - Abdominal Hysterectomy: Observed Cases,0
64,MRSA Bacteremia: Observed Cases,0
70,Clostridium Difficile (C.Diff): Observed Cases,10
76,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,4
82,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,2
88,SSI - Colon Surgery: Observed Cases,0
94,SSI - Abdominal Hysterectomy: Observed Cases,0
100,MRSA Bacteremia: Observed Cases,5
106,Clostridium Difficile (C.Diff): Observed Cases,2
112,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
118,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
124,SSI - Colon Surgery: Observed Cases,0
136,MRSA Bacteremia: Observed Cases,0
142,Clostridium Difficile (C.Diff): Observed Cases,1
148,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
154,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
172,MRSA Bacteremia: Observed Cases,0
178,Clostridium Difficile (C.Diff): Observed Cases,0
184,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,11
190,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,12
196,SSI - Colon Surgery: Observed Cases,0
202,SSI - Abdominal Hysterectomy: Observed Cases,0
208,MRSA Bacteremia: Observed Cases,11
214,Clostridium Difficile (C.Diff): Observed Cases,38
220,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,2
226,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
232,SSI - Colon Surgery: Observed Cases,1
238,SSI - Abdominal Hysterectomy: Observed Cases,0
244,MRSA Bacteremia: Observed Cases,2
250,Clostridium Difficile (C.Diff): Observed Cases,1
256,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,2
262,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,6
268,SSI - Colon Surgery: Observed Cases,1
274,SSI - Abdominal Hysterectomy: Observed Cases,0
280,MRSA Bacteremia: Observed Cases,4
286,Clostridium Difficile (C.Diff): Observed Cases,8
316,MRSA Bacteremia: Observed Cases,0
322,Clostridium Difficile (C.Diff): Observed Cases,0
328,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,12
334,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,4
340,SSI - Colon Surgery: Observed Cases,2
346,SSI - Abdominal Hysterectomy: Observed Cases,0
352,MRSA Bacteremia: Observed Cases,8
358,Clostridium Difficile (C.Diff): Observed Cases,6
364,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
370,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,1
376,SSI - Colon Surgery: Observed Cases,1
388,MRSA Bacteremia: Observed Cases,0
394,Clostridium Difficile (C.Diff): Observed Cases,0
400,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
406,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
424,MRSA Bacteremia: Observed Cases,0
430,Clostridium Difficile (C.Diff): Observed Cases,0
436,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,27
442,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,55
448,SSI - Colon Surgery: Observed Cases,9
454,SSI - Abdominal Hysterectomy: Observed Cases,2
460,MRSA Bacteremia: Observed Cases,23
466,Clostridium Difficile (C.Diff): Observed Cases,39
472,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,34
478,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,26
484,SSI - Colon Surgery: Observed Cases,1
490,SSI - Abdominal Hysterectomy: Observed Cases,0
496,MRSA Bacteremia: Observed Cases,17
502,Clostridium Difficile (C.Diff): Observed Cases,36
508,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,10
514,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,4
520,SSI - Colon Surgery: Observed Cases,5
526,SSI - Abdominal Hysterectomy: Observed Cases,11
532,MRSA Bacteremia: Observed Cases,6
538,Clostridium Difficile (C.Diff): Observed Cases,36
544,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,58
550,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,55
556,SSI - Colon Surgery: Observed Cases,17
562,SSI - Abdominal Hysterectomy: Observed Cases,8
568,MRSA Bacteremia: Observed Cases,78
574,Clostridium Difficile (C.Diff): Observed Cases,106
580,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
586,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
604,MRSA Bacteremia: Observed Cases,0
610,Clostridium Difficile (C.Diff): Observed Cases,2
616,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,2
622,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,12
628,SSI - Colon Surgery: Observed Cases,2
634,SSI - Abdominal Hysterectomy: Observed Cases,0
640,MRSA Bacteremia: Observed Cases,2
646,Clostridium Difficile (C.Diff): Observed Cases,5
658,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
664,SSI - Colon Surgery: Observed Cases,0
670,SSI - Abdominal Hysterectomy: Observed Cases,0
676,MRSA Bacteremia: Observed Cases,0
682,Clostridium Difficile (C.Diff): Observed Cases,0
688,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,0
694,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,0
700,SSI - Colon Surgery: Observed Cases,0
706,SSI - Abdominal Hysterectomy: Observed Cases,0
712,MRSA Bacteremia: Observed Cases,0
718,Clostridium Difficile (C.Diff): Observed Cases,2
724,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,50
730,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,45
736,SSI - Colon Surgery: Observed Cases,11
742,SSI - Abdominal Hysterectomy: Observed Cases,3
748,MRSA Bacteremia: Observed Cases,30
754,Clostridium Difficile (C.Diff): Observed Cases,84
